Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/olap,184,184,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/payment,1686,1686,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/period,93,93,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/permissions,112,112,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/rate,400,400,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/tax,295,295,0,"100.00"
/ofbiz13.07/applications/accounting/script/org/ofbiz/accounting/test,2280,2280,0,"100.00"
/ofbiz13.07/applications/accounting/servicedef,5846,5846,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting,180,180,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/agreement,194,194,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/finaccount,1807,1807,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/invoice,4274,4274,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/ledger,81,81,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/payment,6834,6834,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/period,102,102,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/tax,573,573,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/test,67,67,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/authorizedotnet,1082,1082,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/clearcommerce,1171,1171,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/cybersource,703,703,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/eway,1026,1026,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/gosoftware,1516,1516,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/ideal,734,734,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/orbital,657,657,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/paypal,1607,1607,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/sagepay,1379,1379,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/securepay,771,771,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/valuelink,2613,2613,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/verisign,1176,1176,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/thirdparty/worldpay,531,531,0,"100.00"
/ofbiz13.07/applications/accounting/src/org/ofbiz/accounting/util,292,292,0,"100.00"
/ofbiz13.07/applications/accounting/testdef,171,171,0,"100.00"
/ofbiz13.07/applications/accounting/testdef/data,67,67,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting,142,142,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF,3010,3010,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/admin,82,82,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/chartofaccounts,27,27,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/fixedasset,45,45,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/invoice,666,666,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/order,41,41,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/payment,441,441,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/period,76,76,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/reports,2088,2088,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/WEB-INF/actions/transaction,170,170,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/agreement,43,43,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/common,181,181,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/error,104,104,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/finaccounttrans,690,690,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/invoice,755,755,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/ledger,58,58,0,"100.00"
/ofbiz13.07/applications/accounting/webapp/accounting/payment,919,919,0,"100.00"
